company_name,account_id,region
Amundi,0011x000ACC001,EMEA
BNP Paribas Asset Management,0011x000ACC002,EMEA
AXA Investment Managers,0011x000ACC003,EMEA
Carmignac,0011x000ACC004,EMEA
DNCA Finance,0011x000ACC005,EMEA
Edmond de Rothschild AM,0011x000ACC006,EMEA
Groupama Asset Management,0011x000ACC007,EMEA
La Banque Postale Asset Management,0011x000ACC008,EMEA
La Financiere de l Echiquier,0011x000ACC009,EMEA
Lyxor Asset Management,0011x000ACC010,EMEA
Natixis Investment Managers,0011x000ACC011,EMEA
Rothschild & Co Asset Management,0011x000ACC012,EMEA
ODDO BHF,0011x000ACC013,EMEA
Ostrum Asset Management,0011x000ACC014,EMEA
BlackRock,0011x000ACC015,Americas
Vanguard,0011x000ACC016,Americas
State Street Global Advisors,0011x000ACC017,Americas
Fidelity Investments,0011x000ACC018,Americas
Franklin Templeton,0011x000ACC019,Americas
PIMCO,0011x000ACC020,Americas
T Rowe Price,0011x000ACC021,Americas
Wellington Management,0011x000ACC022,Americas
UBS Wealth Management,0011x000ACC023,EMEA
UBS Asset Management,0011x000ACC024,EMEA
HSBC Global Asset Management,0011x000ACC025,EMEA
Deutsche Bank Asset Management,0011x000ACC026,EMEA
DWS Group,0011x000ACC027,EMEA
Allianz Global Investors,0011x000ACC028,EMEA
Pictet Wealth Management,0011x000ACC029,EMEA
Pictet Asset Management,0011x000ACC030,EMEA
Julius Baer,0011x000ACC031,EMEA
Lombard Odier,0011x000ACC032,EMEA
Mirabaud Asset Management,0011x000ACC033,EMEA
Vontobel Asset Management,0011x000ACC034,EMEA
Kepler Cheuvreux,0011x000ACC035,EMEA
Schroders,0011x000ACC036,EMEA
Aberdeen Standard Investments,0011x000ACC037,EMEA
Jupiter Asset Management,0011x000ACC038,EMEA
M&G Investments,0011x000ACC039,EMEA
Baillie Gifford,0011x000ACC040,EMEA
Goldman Sachs Asset Management,0011x000ACC041,Americas
Morgan Stanley Investment Management,0011x000ACC042,Americas
JPMorgan Asset Management,0011x000ACC043,Americas
Neuberger Berman,0011x000ACC044,Americas
AllianceBernstein,0011x000ACC045,Americas
Sanso Investment Solutions,0011x000ACC046,EMEA
Sycomore Asset Management,0011x000ACC047,EMEA
Silex,0011x000ACC048,EMEA
Palatine Asset Management,0011x000ACC049,EMEA
Mansartis,0011x000ACC050,EMEA
Meeschaert Amilton AM,0011x000ACC051,EMEA
Talence Gestion,0011x000ACC052,EMEA
Financiere Tiepolo,0011x000ACC053,EMEA
Financiere Arbevel,0011x000ACC054,EMEA
Ecofi Investissements,0011x000ACC055,EMEA
Pergam Finance,0011x000ACC056,EMEA
Auris Gestion,0011x000ACC057,EMEA
Gemway Assets,0011x000ACC058,EMEA
Zadig Asset Management,0011x000ACC059,EMEA
Erasmus Gestion,0011x000ACC060,EMEA
Twenty First Capital,0011x000ACC061,EMEA
iM Global Partner,0011x000ACC062,EMEA
Yomoni,0011x000ACC063,EMEA
Kirao AM,0011x000ACC064,EMEA
Nalo,0011x000ACC065,EMEA
